,timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count
50,12/2/2019 12:10,It's been a long time since a Real Madrid player hasn't been in the #BallonDor conversations! 😬 https://t.co/FFkkFcPYWL,90min_Football,[u'BallonDor'],164225,185767.0
57,12/2/2019 12:05,The only reason Sadio Mane isn't winning the #BallonDor is that his PR is shit.,DavidIAdeleke,[u'BallonDor'],5828,6524.0
62,12/2/2019 12:03,The 2019 #BallondOr winner will be ____.  #OptusSport https://t.co/wS0PWr97Gm,OptusSport,"[u'BallondOr', u'OptusSport']",36848,22772.0
64,12/2/2019 12:01,What a country called Nigeria where those who earn N37m a month are telling those who earn N18k a month that paying them N30k will lead to inflation.🤔 #BallonDor #BallonDor2019 https://t.co/CHbT3TVTo4,njcmichael,"[u'BallonDor', u'BallonDor2019']",12733,13002.0
67,12/2/2019 12:01,"🗣 | “Make it simple, if you’re giving the award to the best player, then just give it to Messi.”  #Barca boss Valverde knows who he’d give the #BallonDor too… https://t.co/gaxPSKOO7H",ElevenSports_UK,"[u'Barca', u'BallonDor']",49949,73621.0
68,12/2/2019 12:00,#LionelMessi has won the #BallonDor once in the past six years. It is time to stop taking the @FCBarcelona #Barcelona superstar and his unrelenting talent for granted.  A must-read before tonight's #Paris gala.  #BallonDor2019 #Football #CristianoRonaldo  https://t.co/NG38ymOZNv,Outlookindia,"[u'LionelMessi', u'BallonDor', u'Barcelona', u'Paris', u'BallonDor2019', u'Football', u'CristianoRonaldo']",78911,291021.0
70,12/2/2019 12:00,"🗣️ | Pep Guardiola:   ‘Don't write about him, don't try to describe him. Just watch him.’  #BallonDor #BallonDor2019 https://t.co/ZbpBv5V0wL",Betfred,"[u'BallonDor', u'BallonDor2019']",107603,102981.0
72,12/2/2019 12:00,The winner of the men's 2019 #BallonDor will be announced in Paris later.   But can you name all the winners of the award from 1990?   You have four minutes. Good luck! ➡ https://t.co/NjkNyDIqme #bbcfootball https://t.co/r5FV5Fahcg,BBCSport,"[u'BallonDor', u'bbcfootball']",7638,918374.0
74,12/2/2019 11:59,"In the past week, Messi has gone from a 5/2 chance to become the overwhelming 1/12 odds-on favourite to win a record sixth Ballon d’Orr. Van Dijk had been the big favourite since the CL final and he was as short as 1/4 in September. @BetfairExchange #ballondor https://t.co/lhUiFNeHgs",SamRoscoe,[u'ballondor'],1668,1876.0
75,12/2/2019 11:59,#BallonDor2019 #MESSI #MessiBallonDor2019 #BallonDor Picture of the day 📸 https://t.co/ismRvR07r3,Realmusaibrahim,"[u'BallonDor2019', u'MESSI', u'MessiBallonDor2019', u'BallonDor']",2822,3019.0
79,12/2/2019 11:57,#BallonDor2019 #MESSI #MessiBallonDor2019 #BallonDor God of the game... The God of the game. https://t.co/uxwZqgMHDR,Realmusaibrahim,"[u'BallonDor2019', u'MESSI', u'MessiBallonDor2019', u'BallonDor']",2822,2981.0
84,12/2/2019 11:56,"🕰️ Flashback! 🕰️  ""Messi is the best player in the world. I think he deserves the Ballon d'Or."" 🏆   Speaking after winning the #UCL in June, Virgil van Dijk backed Lionel Messi to win the #BallonDor   #Messi #VanDijk #Barca #LFC https://t.co/pzEk1a6En3",OmnisportNews,"[u'UCL', u'BallonDor', u'Messi', u'VanDijk', u'Barca', u'LFC']",5448,5312.0
86,12/2/2019 11:55,The winner of #BallonDor 2019 will be announced tonight!👀  Who are you expecting to be crowned this year? ⚽️🏆  #PLAYON https://t.co/sCv7rzTupF,powerleagueUK,"[u'BallonDor', u'PLAYON']",18630,87212.0
87,12/2/2019 11:55,"🗣️ | Zlatan Ibrahimovic:   ‘Messi does not need his right foot. He only uses the left &amp; he’s still the best in the world. Imagine if he also used his right foot, then we would have serious problems.’  #BallonDor #BallonDor2019 https://t.co/L1zSHpO0HE",Betfred,"[u'BallonDor', u'BallonDor2019']",17394,10294.0
92,12/2/2019 11:52,"See them crying under my last post comment section because I said Ronaldo will win #BallonDor , messi fans do the most tho.  😀😀",RonaldosCrush,[u'BallonDor'],1563,1601.0
94,12/2/2019 11:52,All #BallondOr Winners in #Football History!👏 https://t.co/9eDwAwjzx0,footyroom,"[u'BallondOr', u'Football']",12333,12435.0
95,12/2/2019 11:52,"#BallonDor2019: Finalists, live streaming, time in India (IST) &amp; where to watch on TV  #BallonDor #MESSI #Ronaldo #VanDijk   https://t.co/0wB6y3YCNw",dna,"[u'BallonDor2019', u'BallonDor', u'MESSI', u'Ronaldo', u'VanDijk']",20645,20583.0
98,12/2/2019 11:51,1. Master the @Google tools you use at work with FREE e-learning courses and obtain certificates.   2. https://t.co/7G4uYFA3wh is the one-stop-shop for every kind of learner who wants to succeed with Google professional tools.   3. #BallonDor is for MESSI.,baba_Omoloro,[u'BallonDor'],36403,36280.0
