timestamp,tweet_text,username,all_hashtags,retweet_count,favourites_count
12/2/2019 12:03,"Messi won #FifaTheBest prize, but Van Dijk was the most voted player by the journalists, #BallonDor is all voted from journalists. It is a fact that #VanDijk should win it. #Messi has the best stats, but didn’t win something interesting. #Ronaldo won three trophies last year.🤷🏻‍♂️",florentimeraj,"[u'FifaTheBest', u'BallonDor', u'VanDijk', u'Messi', u'Ronaldo']",998,
12/2/2019 12:02,The boss 💪 https://t.co/7rmxZeznsl  #ynwa #livbha #liverpoolfc #liverpool #jft96 #bpl #livbri #premierleague #lfc #vandijk #sadiomane #mosalah #motd #scouse #vandijk #motd2 #december1st #cybermonday #blackfriday #firmino #football https://t.co/u8zvc0mV9B,TheTwelfthRed,"[u'ynwa', u'livbha', u'liverpoolfc', u'liverpool', u'jft96', u'bpl', u'livbri', u'premierleague', u'lfc', u'vandijk', u'sadiomane', u'mosalah', u'motd', u'scouse', u'vandijk', u'motd2', u'december1st', u'cybermonday', u'blackfriday', u'firmino', u'football']",52,
12/2/2019 11:59,The Ballon d'Or 2019 winner will be announced in Paris later today.  We'll take a look at the top 3 contenders' (2018/19) season  Could it be the 6th for either #Messi or #Ronaldo?  Or the 1st for #VanDijk?  Who deserve the Ballon d'Or 2019?  #BallonDor2019 #GetSporty #BetSporty https://t.co/10vbdF7vB3,sportybetng,"[u'Messi', u'Ronaldo', u'VanDijk', u'BallonDor2019', u'GetSporty', u'BetSporty']",6706,7681
12/2/2019 11:58,Who's going to win? #BallonDor #Messi #Ronaldo #VanDijk #Salah,tuzuner_kemal,"[u'BallonDor', u'Messi', u'Ronaldo', u'VanDijk', u'Salah']",50,
12/2/2019 11:56,"🕰️ Flashback! 🕰️  ""Messi is the best player in the world. I think he deserves the Ballon d'Or."" 🏆   Speaking after winning the #UCL in June, Virgil van Dijk backed Lionel Messi to win the #BallonDor   #Messi #VanDijk #Barca #LFC https://t.co/pzEk1a6En3",OmnisportNews,"[u'UCL', u'BallonDor', u'Messi', u'VanDijk', u'Barca', u'LFC']",5448,6452
12/2/2019 11:53,"Give the #BallonDor to #VanDijk  The man deserves more than #Ronaldo and #Messi. I’m a big fan of #Cristiano but tbh Van Dijk deserves it. If they give it to Messi, that would be the biggest robbery ever. Ronaldo had better stats last year than Messi this year, but didn’t win it.",florentimeraj,"[u'BallonDor', u'VanDijk', u'Ronaldo', u'Messi', u'Cristiano']",998,
12/2/2019 11:52,"#BallonDor2019: Finalists, live streaming, time in India (IST) &amp; where to watch on TV  #BallonDor #MESSI #Ronaldo #VanDijk   https://t.co/0wB6y3YCNw",dna,"[u'BallonDor2019', u'BallonDor', u'MESSI', u'Ronaldo', u'VanDijk']",76282,98735
12/2/2019 11:34,Been a shit morning. Need #VanDijk to bring home the Ballon d’Or today to feel better,TheOrigin__96,[u'VanDijk'],408,
12/2/2019 11:31,"Let’s get your opinions, who should be the #BallonDor2019?   #Messi #VanDijk #Ronaldo #Salah #Mane #BallonDor",TheMVP_Podcast,"[u'BallonDor2019', u'Messi', u'VanDijk', u'Ronaldo', u'Salah', u'Mane', u'BallonDor']",882,
12/2/2019 11:29,"So apparently this is a leak of who will win the #BallonDor2019 tonight, what do you guys think? 🤔  Does Messi deserve it ahead of Van Dijk?   #BallonDor  #Messi #VanDijk #Ronaldo https://t.co/rbSeolZjrq",TheMVP_Podcast,"[u'BallonDor2019', u'BallonDor', u'Messi', u'VanDijk', u'Ronaldo']",882,
12/2/2019 11:29,Who will win the 2019 Ballon d'Or❓🤔  ✨The winner will be announced in Paris on 2 December 2019.  #BallonDor2019 #BallonDor #MESSI #VanDijk #Ronaldo @premierleague @LaLiga https://t.co/GMUIcFuVRP,sports_xplore,"[u'BallonDor2019', u'BallonDor', u'MESSI', u'VanDijk', u'Ronaldo']",64,
12/2/2019 11:26,@FIFAcom  #Messi #VanDijk @Cristiano Who Gonna Win This #BallonDor #BallonDor2019   @FCBarcelona @LFC @juventusfc,imsaifkhan31,"[u'Messi', u'VanDijk', u'BallonDor', u'BallonDor2019']",189,
12/2/2019 11:23,@MarcLewisZA #VanDijk is so deserving of the award!,cherylh2707,[u'VanDijk'],86,
12/2/2019 11:16,#BallonDor whoever wins it my hearty congrats to them. I hope #VanDijk wins it for us #Liverpool.We had an amazing last season and #Vandijk reached #UNL finals  congrats to #BernardoSilva for a great season for club and country.congrats to @BernardoCSilva and @VirgilvDijk.,ajithf808,"[u'BallonDor', u'VanDijk', u'Liverpool', u'Vandijk', u'UNL', u'BernardoSilva']",18,
12/2/2019 11:15,Who will win the Ballon'D'or #BallonDor2019 #MESSI #VanDijk #Barcelona  @FCBarcelona @TeamMessi,news_khulasa,"[u'BallonDor2019', u'MESSI', u'VanDijk', u'Barcelona']",1403,
12/2/2019 11:13,Ronaldo getting ready for the Balon d’Or ceremony when he knows he’s not winning anything #BallonDor2019 #MESSI #Ronaldo #VanDijk https://t.co/XUF67Hta4B,Vintage_Klopp,"[u'BallonDor2019', u'MESSI', u'Ronaldo', u'VanDijk']",69,
12/2/2019 11:04,@MarcLewisZA Based on best player last season? #vandijk takes it. If based on best player in the world right now? #messi takes it,Mlungisi06,"[u'vandijk', u'messi']",528,
12/2/2019 10:54,So... #BallonDor tonight.  #Messi has it in the bag right? #VanDijk more deserving?,MarcLewisZA,"[u'BallonDor', u'Messi', u'VanDijk']",12119,7625
12/2/2019 10:48,Who will win the Ballon d'Or? #BallonDor2019 #MESSI #VanDijk,kanspurs,"[u'BallonDor2019', u'MESSI', u'VanDijk']",980,
12/2/2019 10:41,Who's gonne win the #BallonDor2019?  30 nominees but only 1 winner.   #Ronaldo #MESSI #VanDijk #uefa,PlayerMatchCom,"[u'BallonDor2019', u'Ronaldo', u'MESSI', u'VanDijk', u'uefa']",221,
12/2/2019 10:40,Virgil van Dijk already feels like a winner after being nominated for this year's Ballon d'Or. . . . #BallondOr #VanDijk #Liverpool #EPL #Messi #Ronaldo #FranceFootball https://t.co/U7W6bueHSz,365Scores,"[u'BallondOr', u'VanDijk', u'Liverpool', u'EPL', u'Messi', u'Ronaldo', u'FranceFootball']",16065,19872
12/2/2019 10:36,It's Ballon d'Or time as these two giants go head to head for the prestigious award.   Who do you think will win it? Winner to be announced tonight!!👀  #LFC #liverpoolfc #ynwa #scousersinlondon #vandijk #messi #ballondor #championsleague #fifabest #thebest https://t.co/Vxjq4Nmr9j,scousersinldn,"[u'LFC', u'liverpoolfc', u'ynwa', u'scousersinlondon', u'vandijk', u'messi', u'ballondor', u'championsleague', u'fifabest', u'thebest']",510,
12/2/2019 10:12,"I am looking forward to announcing #Messi as the #BallonDor winner to confirm how this award is becoming a real FARCE. Not even #CR7 deserved it, for heaven's sake, but only #VanDijk had to win it.   #BallonDor2019 #Juventus #Barcelona #Liverpool",AleGobbo87,"[u'Messi', u'BallonDor', u'CR7', u'VanDijk', u'BallonDor2019', u'Juventus', u'Barcelona', u'Liverpool']",311,
12/2/2019 10:10,#VanDijk Says No Losers in Ballon D’Or Awards https://t.co/QON1NOq4Nb https://t.co/4FO70yw653,aawsat_eng,[u'VanDijk'],13625,21001
12/2/2019 10:05,#SCThoughts But we all know who's picking it up in the end. Rumour has it that the dude has already been told so he'll just hang out around the podium when its time. 😁 #Messi #VanDijk #Ronaldo #BallonDor #Football #Soccer https://t.co/qwRa6exDkW,SoccerChattabox,"[u'SCThoughts', u'Messi', u'VanDijk', u'Ronaldo', u'BallonDor', u'Football', u'Soccer']",231,
12/2/2019 10:01,Even Virgil van Dijk thinks Leo Messi should win the Ballon d'Or 🐐  #VanDijk #Messi #Ballondor https://t.co/6ouH4xI5rf,GiveMeSport,"[u'VanDijk', u'Messi', u'Ballondor']",57450,61531
12/2/2019 9:59,"@AJayzWorld , a big day for football. Who do you think will win the Ballon D'or tonight? @VirgilvDijk or Messi ?  #BallonDor2019 #BallonDor #VanDijk #Messi #YNWA",irakifelix,"[u'BallonDor2019', u'BallonDor', u'VanDijk', u'Messi', u'YNWA']",910,
12/2/2019 9:55,Predict who wins the #BallonDor2019 tonight?  Play here👉 https://t.co/rceiYva7DR Register here👉https://t.co/4s5w1SRvlO . . #Betyetu #CreateABet #TopPlayers #Ronaldo #Messi #VanDijk #Mane #Klopp #ballon #Mourinho #Best #mondaymotivation https://t.co/qfHuX3eXhe,betyetughana,"[u'BallonDor2019', u'Betyetu', u'CreateABet', u'TopPlayers', u'Ronaldo', u'Messi', u'VanDijk', u'Mane', u'Klopp', u'ballon', u'Mourinho', u'Best', u'mondaymotivation']",719,
12/2/2019 9:45,"#VanDijk: 🗣️ ""I am very proud to be in that bracket,"" #BallonDor  https://t.co/fImVLhNbnW",beINSPORTS_EN,"[u'VanDijk', u'BallonDor']",10876,11308
12/2/2019 9:42,"#BallonDor2019 Whoever takes the #BallonDor today,  #history will be made #record will be #broken   #Messi #Ronaldo #VanDijk  ... The football world has been blessed with unbelievable #talents   #Barcelona #Juventus #Liverpool #Argentina #Portugal #Netherland #GOAT #TheGOAT https://t.co/vq4zmWlWZn",hotjist,"[u'BallonDor2019', u'BallonDor', u'history', u'record', u'broken', u'Messi', u'Ronaldo', u'VanDijk', u'talents', u'Barcelona', u'Juventus', u'Liverpool', u'Argentina', u'Portugal', u'Netherland', u'GOAT', u'TheGOAT']",8649,9876
12/2/2019 9:41,"Yh Messi Had A Great Season Than Any Other Player But The Problem Is That He Did Not Collect The Champions League,The Champions League Is The Biggest Trophy Of 2019 So Guyz Don't Be Suprise If The BallonDor Is Given To Virgil Van Dijk.#BallonDor2019 #VanDijk https://t.co/BjYctvMUiO",LittleMhan,"[u'BallonDor2019', u'VanDijk']",1842,1907
12/2/2019 9:32,The defender could be the first since Italy's World Cup-winning skipper Fabio Cannavaro in 2006.  (Check Out Our Channel For The Full Video!)  Virgil van Dijk 2019-2020 ● Ballon d'Or Deserved | Defensive Skills vs The Best Players ● |HD 1080p|  #Messi #VanDijk #BallonDor https://t.co/5NyVNjfwCR,AzamAbdallah,"[u'Messi', u'VanDijk', u'BallonDor']",976,
12/2/2019 9:32,Who should be the winner of 'Golden Ball 2019' ⚽️Virgil Van Dijk ⚽️ Lionel Messi  ⚽️ Cristiano Ronaldo  #VanDijk #LionelMessi #CristianoRonaldo #BallonDor #GoldenBall https://t.co/fApLuAptpG,ONSport_KS,"[u'VanDijk', u'LionelMessi', u'CristianoRonaldo', u'BallonDor', u'GoldenBall']",8,
12/2/2019 9:03,"If they'll always end up giving the #BallonDor to a striker then that should be the only option for voting but, football is more than just goals and assists and #VanDijk has proven to be more than a fair winner. But, the fanaticism for Messi and CR7 blinds you all, a real shame.",ElPasoReds,"[u'BallonDor', u'VanDijk']",964,
12/2/2019 9:03,#VanDijk changed the whole face of an #LFC defense that was leaking goals and turned it into a fortress. His arrival changed #LFC from years of being a laughing stock into serious title contenders and european champions. #BallonDor,ElPasoReds,"[u'VanDijk', u'LFC', u'LFC', u'BallonDor']",964,
12/2/2019 9:03,Who should win the #BallonDor2019 according to you ⚽️  #Likes #RETWEEET  #VanDijk,LoveMusicandLFC,"[u'BallonDor2019', u'Likes', u'RETWEEET', u'VanDijk']",1868,
12/2/2019 9:02,"If #Messi wins, it would be the second time that the Argentine would win this award UNDESERVEDLY. The first is when he stole it from #Milito (I do NOT support Inter). FOR ME, even #CristianoRonaldo must not win it. If I were to choose the winner, I would say #vanDijk. #BallonDor",Etzi2891,"[u'Messi', u'Milito', u'CristianoRonaldo', u'vanDijk', u'BallonDor']",1280,
12/2/2019 8:59,"Team Of The Week 12 Prediction!  91 #VanDijk 🇳🇱, 91 #TerStegen 🇩🇪 &amp; 86 #Carvajal 🇪🇸   Collab with @ElitageDZN #TOTW #FUT #FIFA20 https://t.co/JHr8J9ierY",HarrisonDZN,"[u'VanDijk', u'TerStegen', u'Carvajal', u'TOTW', u'FUT', u'FIFA20']",2144,3425
12/2/2019 8:35,Who do you think deserves the #BallonDor  #BallonDor2019  Retweet for #MESSI  Like for #Ronaldo  Comment for #VanDijk https://t.co/icESiGVMIk,dabiri_abayomi,"[u'BallonDor', u'BallonDor2019', u'MESSI', u'Ronaldo', u'VanDijk']",21,
12/2/2019 8:00,@Sporf @VirgilvDijk @ChampionsLeague @PFA @UEFAEURO @OnsOranje Will #VanDijk win the #BallonDor tonight? Vote and Comment below 👇#Football #PremierLeague #Messi #Liverpool #BallonDor2019 #PitchSideTalk,talk_pitch,"[u'VanDijk', u'BallonDor', u'Football', u'PremierLeague', u'Messi', u'Liverpool', u'BallonDor2019', u'PitchSideTalk']",53,
12/2/2019 8:00,The Ballon d'or award is today 😀  who are you backing to win the award . Drop your comments below.  #EaglePredict #EaglePredictGiveAway #ballondor #Messi #Ronaldo #Vandijk #Barcelona #liverpool #juventus #cr7juve #portugal #netherlands #argentina #portugal #leomessi https://t.co/GdhfrMID7P,EaglePredict,"[u'EaglePredict', u'EaglePredictGiveAway', u'ballondor', u'Messi', u'Ronaldo', u'Vandijk', u'Barcelona', u'liverpool', u'juventus', u'cr7juve', u'portugal', u'netherlands', u'argentina', u'portugal', u'leomessi']",759,
12/2/2019 7:56,if only you guyz understand how luvly #vibration form @fireboydml is draining me today in the office. xpecially the trumpet sound. please just forget #VanDijk  and lets compare him with messi today #FireboyDML for #BallonDor2019 #mtnbundlesdontexpire,Iamtheoberry1,"[u'vibration', u'VanDijk', u'FireboyDML', u'BallonDor2019', u'mtnbundlesdontexpire']",10,
12/2/2019 7:52,Imma ask my crush on a date if #Messi wins his 6th #BallonDor..  #BallonDor2019 #Fifa #France #OleOut #VanDijk #MondayMotivation,4D1S_,"[u'Messi', u'BallonDor', u'BallonDor2019', u'Fifa', u'France', u'OleOut', u'VanDijk', u'MondayMotivation']",55,
12/2/2019 7:42,Football in 90 Seconds today is all about the #BallonDOr. Will #Messi get his 6th or will #VanDijk spoil the party? #FootballDigest https://t.co/2PoeVdlB3Z,Nyaassh_,"[u'BallonDOr', u'Messi', u'VanDijk', u'FootballDigest']",198,
12/2/2019 7:13,greatest of last year #VanDijk https://t.co/JwRLxuWoBy https://t.co/rzF2URBg5h,magicmo11lfc,[u'VanDijk'],5316,6534
12/2/2019 7:05,"Virgil deserves the Ballon d'or for last season. He was the best player in the world last season and although Messi will always be the goat, Virgil was better. Hope he brings it home! #BallonDor2019 #VanDijk",andytt87,"[u'BallonDor2019', u'VanDijk']",238,
12/2/2019 7:00,______________ deserves the 2019 Ballon d'Or 🤔 complete the sentence ⬇️   #ballondor #messi #vandijk #cr7 #mane #alisson #sterling #lewandowski https://t.co/RKs9DiFyKs,JDFootball,"[u'ballondor', u'messi', u'vandijk', u'cr7', u'mane', u'alisson', u'sterling', u'lewandowski']",29109,30918
12/2/2019 6:58,Let's hear your view on who to win the prestigious award. Watch full video here  https://t.co/Ftham7nCFR #BallonDor2019 #Ballinamore #messi #Ronaldo #VanDijk https://t.co/NijTdE0f1G,Naija2talk,"[u'BallonDor2019', u'Ballinamore', u'messi', u'Ronaldo', u'VanDijk']",890,
12/2/2019 6:41,AF Poster: Dig⚒️ for Ballon d'Or! 🏆  #MESSI #CristianoRonaldo #VanDijk #BallonDor2019 #BallonDor #BalondeOro https://t.co/TPXUsB4SgS,sports_900,"[u'MESSI', u'CristianoRonaldo', u'VanDijk', u'BallonDor2019', u'BallonDor', u'BalondeOro']",279,
12/2/2019 6:37,"Who will win the #BallonDor tonight? Like for #Ronaldo, Retweet for #Messi, and comment for #VanDijk.  #BalonDor #BalondeOro",busaIman,"[u'BallonDor', u'Ronaldo', u'Messi', u'VanDijk', u'BalonDor', u'BalondeOro']",398,
12/2/2019 6:19,Whoever said #VVD was on the decline doesn't look at the numbers. #Virgilvandijk #VanDijk #Liverpool #LFC #Anfield  #motd #bbcmotd #nbcsn #pl #premierleague https://t.co/Xixm0UnBDc,jordyxcollins,"[u'VVD', u'Virgilvandijk', u'VanDijk', u'Liverpool', u'LFC', u'Anfield', u'motd', u'bbcmotd', u'nbcsn', u'pl', u'premierleague']",683,
12/2/2019 4:16,@Football__Tweet Not true. They'll give it to #VanDijk,RobertKenO,[u'VanDijk'],134,
12/2/2019 4:03,AF Poster: Dig⚒️ for Ballon d'Or! 🏆  #MESSI #CristianoRonaldo #VanDijk #BallonDor2019 #BallonDor https://t.co/F6ZJIkdQzu,allfootballapp,"[u'MESSI', u'CristianoRonaldo', u'VanDijk', u'BallonDor2019', u'BallonDor']",40583,41716
12/2/2019 3:46,"Being a Ronaldo fan, I've started accepting that he is not the player he once was, which is sad, cause till #Messi plays, no matter how good a season, players won't be considered at the same immortal level as him. #CristianoRonaldo #AtletiBarca #VanDijk #BallonDor #BallonDor2019",Sanct1monious,"[u'Messi', u'CristianoRonaldo', u'AtletiBarca', u'VanDijk', u'BallonDor', u'BallonDor2019']",8,
12/2/2019 2:07,Multiple reports have claimed that Leo Messi will be named the #BallondOr winner! 😮  @LFC star Virgil van Dijk has now opened up on the supposed leaks. 🤔  #Messi #VanDijk  https://t.co/HJFlcPEhLl,FOXSportsAsia,"[u'BallondOr', u'Messi', u'VanDijk']",58089,57012
12/2/2019 1:01,Champions of Europe! https://t.co/3yNHpoMhsR   #ynwa #livbha #liverpoolfc #liverpool #jft96 #bpl #livbri #premierleague #lfc #vandijk #sadiomane #mosalah #motd #scouse #vandijk #motd2 #december1st #cybermonday #blackfriday #firmino #football https://t.co/Xk5egkeOwE,TheTwelfthRed,"[u'ynwa', u'livbha', u'liverpoolfc', u'liverpool', u'jft96', u'bpl', u'livbri', u'premierleague', u'lfc', u'vandijk', u'sadiomane', u'mosalah', u'motd', u'scouse', u'vandijk', u'motd2', u'december1st', u'cybermonday', u'blackfriday', u'firmino', u'football']",52,
12/2/2019 0:17,Why Divock Origi Must Win The Ballon D'or!  https://t.co/gDbNJMIpSc  #Divock2020 #Destiny  #Messi #VanDijk #BallonDor2019,JuiceManBenji,"[u'Divock2020', u'Destiny', u'Messi', u'VanDijk', u'BallonDor2019']",895,
12/2/2019 0:00,"I know he won't win it, but Boy he could have 😣.. #VanDijk https://t.co/t6tcwLAL8O",Gerald_yea,[u'VanDijk'],1207,
